item,day,demand
SKU001,1,6
SKU002,1,11
SKU003,1,10
SKU004,1,12
SKU005,1,6
SKU001,2,10
SKU002,2,7
SKU003,2,5
SKU004,2,6
SKU005,2,11
SKU001,3,12
SKU002,3,6
SKU003,3,8
SKU004,3,9
SKU005,3,5
SKU001,4,9
SKU002,4,5
SKU003,4,7
SKU004,4,9
SKU005,4,6
SKU001,5,10
SKU002,5,12
SKU003,5,10
SKU004,5,8
SKU005,5,6
SKU001,6,8
SKU002,6,5
SKU003,6,8
SKU004,6,11
SKU005,6,12
SKU001,7,8
SKU002,7,8
SKU003,7,6
SKU004,7,8
SKU005,7,11
SKU001,8,6
SKU002,8,12
SKU003,8,9
SKU004,8,12
SKU005,8,5
SKU001,9,8
SKU002,9,5
SKU003,9,7
SKU004,9,8
SKU005,9,6
SKU001,10,10
SKU002,10,7
SKU003,10,11
SKU004,10,5
SKU005,10,11
SKU001,11,9
SKU002,11,9
SKU003,11,10
SKU004,11,7
SKU005,11,7
SKU001,12,7
SKU002,12,8
SKU003,12,8
SKU004,12,10
SKU005,12,6
SKU001,13,11
SKU002,13,7
SKU003,13,5
SKU004,13,6
SKU005,13,10
SKU001,14,11
SKU002,14,8
SKU003,14,5
SKU004,14,11
SKU005,14,8
SKU001,15,11
SKU002,15,11
SKU003,15,6
SKU004,15,8
SKU005,15,7
SKU001,16,11
SKU002,16,11
SKU003,16,8
SKU004,16,5
SKU005,16,11
SKU001,17,5
SKU002,17,8
SKU003,17,7
SKU004,17,6
SKU005,17,8
SKU001,18,10
SKU002,18,10
SKU003,18,6
SKU004,18,6
SKU005,18,8
SKU001,19,12
SKU002,19,12
SKU003,19,12
SKU004,19,8
SKU005,19,7
SKU001,20,11
SKU002,20,11
SKU003,20,7
SKU004,20,8
SKU005,20,11
SKU001,21,7
SKU002,21,7
SKU003,21,6
SKU004,21,11
SKU005,21,7
SKU001,22,11
SKU002,22,12
SKU003,22,5
SKU004,22,12
SKU005,22,9
SKU001,23,9
SKU002,23,6
SKU003,23,8
SKU004,23,11
SKU005,23,12
SKU001,24,11
SKU002,24,6
SKU003,24,5
SKU004,24,8
SKU005,24,8
SKU001,25,11
SKU002,25,12
SKU003,25,8
SKU004,25,11
SKU005,25,7
SKU001,26,9
SKU002,26,11
SKU003,26,7
SKU004,26,7
SKU005,26,8
SKU001,27,7
SKU002,27,8
SKU003,27,11
SKU004,27,5
SKU005,27,7
SKU001,28,8
SKU002,28,5
SKU003,28,5
SKU004,28,7
SKU005,28,12
SKU001,29,7
SKU002,29,12
SKU003,29,10
SKU004,29,12
SKU005,29,11
SKU001,30,7
SKU002,30,11
SKU003,30,12
SKU004,30,6
SKU005,30,12
