id,item,day,quantity
SKU001-7,SKU001,7,3.0
SKU001-12,SKU001,12,51.0
SKU001-17,SKU001,17,45.0
SKU001-22,SKU001,22,51.0
SKU001-27,SKU001,27,22.0
SKU001-30,SKU001,30,7.0
SKU002-7,SKU002,7,20.0
SKU002-12,SKU002,12,45.0
SKU002-17,SKU002,17,48.0
SKU002-22,SKU002,22,47.0
SKU002-27,SKU002,27,25.0
SKU002-30,SKU002,30,11.0
SKU003-7,SKU003,7,22.0
SKU003-12,SKU003,12,32.0
SKU003-17,SKU003,17,38.0
SKU003-22,SKU003,22,33.0
SKU003-27,SKU003,27,26.0
SKU003-30,SKU003,30,12.0
SKU004-7,SKU004,7,20.0
SKU004-12,SKU004,12,40.0
SKU004-17,SKU004,17,39.0
SKU004-22,SKU004,22,49.0
SKU004-27,SKU004,27,24.0
SKU004-30,SKU004,30,6.0
SKU005-7,SKU005,7,29.0
SKU005-12,SKU005,12,42.0
SKU005-17,SKU005,17,41.0
SKU005-22,SKU005,22,44.0
SKU005-27,SKU005,27,30.0
SKU005-30,SKU005,30,12.0
