_0CanalsId.id,_0CanalsId.fromNode,_0CanalsId.toNode,_0CanalsId.fromNodeType,_0CanalsId.toNodeType,_0CanalsId.minInputFlow,_0CanalsId.maxInputFlow,_0CanalsId.initialInputFlow,_0CanalsId.initialOutputFlow,_0CanalsId.operationCost,_0CanalsId.hydroelectricEfficiency,_0CanalsId.hydroelectricHeight,_0CanalsId.waveTripTime,_0CanalsId.waveFading,_0CanalsId.name,_1PeriodsValue,value
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,1,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,2,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,3,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,4,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,5,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,6,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,7,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,8,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,9,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,10,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,11,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,12,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,13,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,14,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,15,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,16,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,17,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,18,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,19,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,20,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,21,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,22,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,23,0.8
1,1,3,2,2,0,0.8,0.984,0.984,15000,100,0,1476,0.5,Canal 1,24,0.8
2,3,2,2,5,0,6,0.111,0.111,0,100,0,771.3,0.5,Canal 2,1,0.09221
2,3,2,2,5,0,6,0.111,0.111,0,100,0,771.3,0.5,Canal 2,2,0.187
2,3,2,2,5,0,6,0.111,0.111,0,100,0,771.3,0.5,Canal 2,3,0.2818
