_0StationsId.id,_0StationsId.technicalMinimum,_0StationsId.maximumCapacity,_0StationsId.step1Level,_0StationsId.step2Level,_0StationsId.step3Level,_0StationsId.step1AdaptationPeriod,_0StationsId.step2AdaptationPeriod,_0StationsId.step3AdaptationPeriod,_0StationsId.name,_1PeriodsValue,outFlow,hasTreatedWater
1,0.01,0.437,75,25,0,1,1,0,Station 1,1,0.291,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,2,0.292,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,3,0.343,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,4,0.312,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,5,0.336,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,6,0.343,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,7,0.335,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,8,0.349,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,9,0.354,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,10,0.355,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,11,0.326,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,12,0.327,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,13,0.282,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,14,0.287,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,15,0.283,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,16,0.298,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,17,0.305,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,18,0.308,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,19,0.352,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,20,0.401,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,21,0.436,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,22,0.408,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,23,0.325,1
1,0.01,0.437,75,25,0,1,1,0,Station 1,24,0.308,1
2,0,1.3,75,25,0,12,24,0,Station 2,1,0.09221,1
2,0,1.3,75,25,0,12,24,0,Station 2,2,0.187,1
2,0,1.3,75,25,0,12,24,0,Station 2,3,0.2818,1
2,0,1.3,75,25,0,12,24,0,Station 2,4,0.3766,1
2,0,1.3,75,25,0,12,24,0,Station 2,5,0.4714,1
2,0,1.3,75,25,0,12,24,0,Station 2,6,0.5662,1
2,0,1.3,75,25,0,12,24,0,Station 2,7,0.661,1
2,0,1.3,75,25,0,12,24,0,Station 2,8,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,9,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,10,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,11,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,12,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,13,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,14,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,15,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,16,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,17,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,18,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,19,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,20,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,21,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,22,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,23,0.7558,1
2,0,1.3,75,25,0,12,24,0,Station 2,24,0.7558,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,1,0.216,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,2,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,3,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,4,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,5,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,6,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,7,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,8,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,9,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,10,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,11,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,12,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,13,0.411,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,14,0.6597,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,15,0.6597,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,16,0.6597,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,17,0.9083,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,18,0.9083,1
3,0.1,3.5,33,27,40,16,8,24,Station 3,19,0.9083,1
