_0WellsId.id,_0WellsId.name,_0WellsId.targetFlow,_0WellsId.useTargetIndicator,_1PeriodsValue,value
1,Well 1,0,1,1,0
1,Well 1,0,1,2,0
1,Well 1,0,1,3,0
1,Well 1,0,1,4,0
1,Well 1,0,1,5,0
1,Well 1,0,1,6,0
1,Well 1,0,1,7,0
1,Well 1,0,1,8,0
1,Well 1,0,1,9,0
1,Well 1,0,1,10,0
1,Well 1,0,1,11,0
1,Well 1,0,1,12,0
1,Well 1,0,1,13,0
1,Well 1,0,1,14,0
1,Well 1,0,1,15,0
1,Well 1,0,1,16,0
1,Well 1,0,1,17,0
1,Well 1,0,1,18,0
1,Well 1,0,1,19,0
1,Well 1,0,1,20,0
1,Well 1,0,1,21,0
1,Well 1,0,1,22,0
1,Well 1,0,1,23,0
1,Well 1,0,1,24,0
2,Well 2,0.2,0,1,0.147
2,Well 2,0.2,0,2,0.162
2,Well 2,0.2,0,3,0.185
2,Well 2,0.2,0,4,0.182
2,Well 2,0.2,0,5,0.175
2,Well 2,0.2,0,6,0.174
2,Well 2,0.2,0,7,0.185
2,Well 2,0.2,0,8,0.197
2,Well 2,0.2,0,9,0.192
2,Well 2,0.2,0,10,0.191
2,Well 2,0.2,0,11,0.189
2,Well 2,0.2,0,12,0.183
2,Well 2,0.2,0,13,0.153
2,Well 2,0.2,0,14,0.144
2,Well 2,0.2,0,15,0.151
2,Well 2,0.2,0,16,0.134
2,Well 2,0.2,0,17,0.154
2,Well 2,0.2,0,18,0.168
2,Well 2,0.2,0,19,0.21
2,Well 2,0.2,0,20,0.328
2,Well 2,0.2,0,21,0.323
2,Well 2,0.2,0,22,0.243
2,Well 2,0.2,0,23,0.183
2,Well 2,0.2,0,24,0.171
3,Well 3,1.1,1,1,0.2613
3,Well 3,1.1,1,2,0.339
3,Well 3,1.1,1,3,0.376
3,Well 3,1.1,1,4,0.374
3,Well 3,1.1,1,5,0.372
3,Well 3,1.1,1,6,0.393
3,Well 3,1.1,1,7,0.414
3,Well 3,1.1,1,8,0.403
3,Well 3,1.1,1,9,0.406
3,Well 3,1.1,1,10,0.409
3,Well 3,1.1,1,11,0.386
3,Well 3,1.1,1,12,0.359
3,Well 3,1.1,1,13,0.336
3,Well 3,1.1,1,14,0.304
3,Well 3,1.1,1,15,0.314
3,Well 3,1.1,1,16,0.328
3,Well 3,1.1,1,17,0.345
3,Well 3,1.1,1,18,0.354
3,Well 3,1.1,1,19,0.409
3,Well 3,1.1,1,20,0.596
3,Well 3,1.1,1,21,0.611
3,Well 3,1.1,1,22,0.499
3,Well 3,1.1,1,23,0.401
3,Well 3,1.1,1,24,0.586
