id,fromNode,toNode,fromNodeType,toNodeType,minFlow,maxFlow,initialFlow,operationCost,pulseEfficiency,hydroelectricEfficiency,pulseHeight,hydroelectricHeight,name
1,1,1,2,5,0,2.4,0,2000,100,100,0,0,Pipe 1
2,1,1,5,8,0,1.3,0.2,0,100,100,0,0,Pipe 2
3,2,2,5,4,0,16,0,5000,100,100,0,0,Pipe 3
4,3,1,5,4,0,6,0,5000,100,100,0,0,Pipe 4
5,2,1,4,4,0,16,0,6000,100,100,0,0,Pipe 5
6,1,2,4,8,0,3,0,0,100,100,0,0,Pipe 6
7,1,3,3,5,0,2.5,0.1,4000,100,100,0,0,Pipe 7
8,5,3,2,2,0,2.5,0.1,0,100,100,0,0,Pipe 8
9,3,4,3,5,0,2.5,0.1,0,100,100,0,0,Pipe 9
10,4,4,5,8,0,2.5,0.1,2000,100,100,0,0,Pipe 10
11,4,3,5,8,0,2.5,0.1,2000,100,100,0,0,Pipe 11
12,4,6,4,5,0,2.5,0.1,0,100,100,0,0,Pipe 12
13,2,6,3,8,0,2.5,0.1,0,100,100,0,0,Pipe 13
14,6,7,5,8,0,2.5,0.1,0,100,100,0,0,Pipe 14
15,6,6,5,8,0,2.5,0.1,2500,100,100,0,0,Pipe 15
16,5,5,4,5,0,2.5,0.1,0,100,100,0,0,Pipe 16
17,5,5,5,8,0,2.5,0.1,0,100,100,0,0,Pipe 17
18,2,8,4,8,0,2.5,0.1,0,100,100,0,0,Pipe 18
19,3,3,4,5,0,2.5,0.1,10000,100,100,0,0,Pipe 19
20,6,4,5,8,0,2.5,0.1,2000,100,100,0,0,Pipe 20
21,4,5,5,5,0,2.5,0.1,0,100,100,0,0,Pipe 21
