station,period,minLimit,maxLimit,minInformedLimit,maxInformedLimit
1,1,0,0.437,0,0.437
1,2,0,0.437,0,0.437
1,3,0,0.437,0,0.437
1,4,0,0.437,0,0.437
1,5,0,0.437,0,0.437
1,6,0,0.437,0,0.437
1,7,0,0.437,0,0.437
1,8,0,0.437,0,0.437
1,9,0,0.437,0,0.437
1,10,0,0.437,0,0.437
1,11,0,0.437,0,0.437
1,12,0,0.437,0,0.437
1,13,0,0.437,0,0.437
1,14,0,0.437,0,0.437
1,15,0,0.437,0,0.437
1,16,0,0.437,0,0.437
1,17,0,0.437,0,0.437
1,18,0,0.437,0,0.437
1,19,0,0.437,0,0.437
1,20,0,0.437,0,0.437
1,21,0,0.437,0,0.437
1,22,0,0.437,0,0.437
1,23,0,0.437,0,0.437
1,24,0,0.437,0,0.437
2,1,0,1.3,0,1.3
2,2,0,1.3,0,1.3
2,3,0,1.3,0,1.3
2,4,0,1.3,0,1.3
2,5,0,1.3,0,1.3
2,6,0,1.3,0,1.3
2,7,0,1.3,0,1.3
2,8,0,1.3,0,1.3
2,9,0,1.3,0,1.3
2,10,0,1.3,0,1.3
2,11,0,1.3,0,1.3
2,12,0,1.3,0,1.3
2,13,0,1.3,0,1.3
2,14,0,1.3,0,1.3
2,15,0,1.3,0,1.3
2,16,0,1.3,0,1.3
2,17,0,1.3,0,1.3
2,18,0,1.3,0,1.3
2,19,0,1.3,0,1.3
2,20,0,1.3,0,1.3
2,21,0,1.3,0,1.3
2,22,0,1.3,0,1.3
2,23,0,1.3,0,1.3
2,24,0,1.3,0,1.3
3,1,0,3.5,0,3.5
3,2,0,3.5,0,3.5
3,3,0,3.5,0,3.5
3,4,0,3.5,0,3.5
3,5,0,3.5,0,3.5
3,6,0,3.5,0,3.5
3,7,0,3.5,0,3.5
3,8,0,3.5,0,3.5
3,9,0,3.5,0,3.5
3,10,0,3.5,0,3.5
3,11,0,3.5,0,3.5
3,12,0,3.5,0,3.5
3,13,0,3.5,0,3.5
3,14,0,3.5,0,3.5
3,15,0,3.5,0,3.5
3,16,0,3.5,0,3.5
3,17,0,3.5,0,3.5
3,18,0,3.5,0,3.5
3,19,0,3.5,0,3.5
3,20,0,3.5,0,3.5
3,21,0,3.5,0,3.5
3,22,0,3.5,0,3.5
3,23,0,3.5,0,3.5
3,24,0,3.5,0,3.5
4,1,0,0.8,0,0.8
4,2,0,0.8,0,0.8
4,3,0,0.8,0,0.8
4,4,0,0.8,0,0.8
4,5,0,0.8,0,0.8
4,6,0,0.8,0,0.8
4,7,0,0.8,0,0.8
4,8,0,0.8,0,0.8
4,9,0,0.8,0,0.8
4,10,0,0.8,0,0.8
4,11,0,0.8,0,0.8
4,12,0,0.8,0,0.8
4,13,0,0.8,0,0.8
4,14,0,0.8,0,0.8
4,15,0,0.8,0,0.8
4,16,0,0.8,0,0.8
4,17,0,0.8,0,0.8
4,18,0,0.8,0,0.8
4,19,0,0.8,0,0.8
4,20,0,0.8,0,0.8
4,21,0,0.8,0,0.8
4,22,0,0.8,0,0.8
4,23,0,0.8,0,0.8
4,24,0,0.8,0,0.8
5,1,0,4,0,4
5,2,0,4,0,4
5,3,0,4,0,4
5,4,0,4,0,4
5,5,0,4,0,4
5,6,0,4,0,4
5,7,0,4,0,4
5,8,0,4,0,4
5,9,0,4,0,4
5,10,0,4,0,4
5,11,0,4,0,4
5,12,0,4,0,4
5,13,0,4,0,4
5,14,0,4,0,4
5,15,0,4,0,4
5,16,0,4,0,4
5,17,0,4,0,4
5,18,0,4,0,4
5,19,0,4,0,4
5,20,0,4,0,4
5,21,0,4,0,4
5,22,0,4,0,4
5,23,0,4,0,4
5,24,0,4,0,4
6,1,0,1.4,0,1.4
6,2,0,1.4,0,1.4
6,3,0,1.4,0,1.4
6,4,0,1.4,0,1.4
6,5,0,1.4,0,1.4
6,6,0,1.4,0,1.4
6,7,0,1.4,0,1.4
6,8,0,1.4,0,1.4
6,9,0,1.4,0,1.4
6,10,0,1.4,0,1.4
6,11,0,1.4,0,1.4
6,12,0,1.4,0,1.4
6,13,0,1.4,0,1.4
6,14,0,1.4,0,1.4
6,15,0,1.4,0,1.4
6,16,0,1.4,0,1.4
6,17,0,1.4,0,1.4
6,18,0,1.4,0,1.4
6,19,0,1.4,0,1.4
6,20,0,1.4,0,1.4
6,21,0,1.4,0,1.4
6,22,0,1.4,0,1.4
6,23,0,1.4,0,1.4
6,24,0,1.4,0,1.4
