_0DamsId.id,_0DamsId.targetFlow,_0DamsId.useTargetIndicator,_0DamsId.name,_0DamsId.initialVolume,_1PeriodsValue,value
1,0.22,1,Dam 1,250000,1,0
1,0.22,1,Dam 1,250000,2,0
1,0.22,1,Dam 1,250000,3,0
1,0.22,1,Dam 1,250000,4,0
1,0.22,1,Dam 1,250000,5,0
1,0.22,1,Dam 1,250000,6,0
1,0.22,1,Dam 1,250000,7,0
1,0.22,1,Dam 1,250000,8,0
1,0.22,1,Dam 1,250000,9,0
1,0.22,1,Dam 1,250000,10,0
1,0.22,1,Dam 1,250000,11,0
1,0.22,1,Dam 1,250000,12,0
1,0.22,1,Dam 1,250000,13,0
1,0.22,1,Dam 1,250000,14,0
1,0.22,1,Dam 1,250000,15,0
1,0.22,1,Dam 1,250000,16,0
1,0.22,1,Dam 1,250000,17,0
1,0.22,1,Dam 1,250000,18,0
1,0.22,1,Dam 1,250000,19,0
1,0.22,1,Dam 1,250000,20,0
1,0.22,1,Dam 1,250000,21,0
1,0.22,1,Dam 1,250000,22,0
1,0.22,1,Dam 1,250000,23,0
1,0.22,1,Dam 1,250000,24,0
2,2.5,1,Dam 2,78500,1,0.4887
2,2.5,1,Dam 2,78500,2,2.809
2,2.5,1,Dam 2,78500,3,2.809
2,2.5,1,Dam 2,78500,4,2.809
2,2.5,1,Dam 2,78500,5,2.809
2,2.5,1,Dam 2,78500,6,2.809
2,2.5,1,Dam 2,78500,7,2.809
2,2.5,1,Dam 2,78500,8,2.809
2,2.5,1,Dam 2,78500,9,2.809
2,2.5,1,Dam 2,78500,10,2.809
2,2.5,1,Dam 2,78500,11,2.809
2,2.5,1,Dam 2,78500,12,2.809
2,2.5,1,Dam 2,78500,13,2.809
2,2.5,1,Dam 2,78500,14,2.809
2,2.5,1,Dam 2,78500,15,2.809
2,2.5,1,Dam 2,78500,16,2.809
2,2.5,1,Dam 2,78500,17,2.809
2,2.5,1,Dam 2,78500,18,2.809
2,2.5,1,Dam 2,78500,19,2.809
2,2.5,1,Dam 2,78500,20,2.809
2,2.5,1,Dam 2,78500,21,2.809
2,2.5,1,Dam 2,78500,22,2.809
2,2.5,1,Dam 2,78500,23,2.809
2,2.5,1,Dam 2,78500,24,2.809
3,1.1,1,Dam 3,122300,1,2.945
3,1.1,1,Dam 3,122300,2,3.309
3,1.1,1,Dam 3,122300,3,3.309
3,1.1,1,Dam 3,122300,4,3.309
3,1.1,1,Dam 3,122300,5,3.309
3,1.1,1,Dam 3,122300,6,3.309
3,1.1,1,Dam 3,122300,7,3.309
3,1.1,1,Dam 3,122300,8,3.309
3,1.1,1,Dam 3,122300,9,3.309
3,1.1,1,Dam 3,122300,10,3.309
3,1.1,1,Dam 3,122300,11,3.309
3,1.1,1,Dam 3,122300,12,3.309
3,1.1,1,Dam 3,122300,13,3.309
3,1.1,1,Dam 3,122300,14,3.309
3,1.1,1,Dam 3,122300,15,3.309
3,1.1,1,Dam 3,122300,16,3.309
3,1.1,1,Dam 3,122300,17,3.309
3,1.1,1,Dam 3,122300,18,3.309
3,1.1,1,Dam 3,122300,19,3.309
3,1.1,1,Dam 3,122300,20,3.309
3,1.1,1,Dam 3,122300,21,3.309
3,1.1,1,Dam 3,122300,22,3.309
3,1.1,1,Dam 3,122300,23,3.309
3,1.1,1,Dam 3,122300,24,3.309
4,0.2,1,Dam 4,21350,1,0
4,0.2,1,Dam 4,21350,2,0
4,0.2,1,Dam 4,21350,3,0
4,0.2,1,Dam 4,21350,4,0
4,0.2,1,Dam 4,21350,5,0
4,0.2,1,Dam 4,21350,6,0
4,0.2,1,Dam 4,21350,7,0
4,0.2,1,Dam 4,21350,8,0
4,0.2,1,Dam 4,21350,9,0
4,0.2,1,Dam 4,21350,10,0
4,0.2,1,Dam 4,21350,11,0
4,0.2,1,Dam 4,21350,12,0
4,0.2,1,Dam 4,21350,13,0
4,0.2,1,Dam 4,21350,14,0
4,0.2,1,Dam 4,21350,15,0
4,0.2,1,Dam 4,21350,16,0
4,0.2,1,Dam 4,21350,17,0
4,0.2,1,Dam 4,21350,18,0
4,0.2,1,Dam 4,21350,19,0
4,0.2,1,Dam 4,21350,20,0
4,0.2,1,Dam 4,21350,21,0
4,0.2,1,Dam 4,21350,22,0
4,0.2,1,Dam 4,21350,23,0
4,0.2,1,Dam 4,21350,24,0
5,2.5,1,Dam 5,56290,1,0.192
5,2.5,1,Dam 5,56290,2,0.2
5,2.5,1,Dam 5,56290,3,0.2
5,2.5,1,Dam 5,56290,4,0.2
5,2.5,1,Dam 5,56290,5,0.2
5,2.5,1,Dam 5,56290,6,0.2
5,2.5,1,Dam 5,56290,7,0.2
5,2.5,1,Dam 5,56290,8,0.2
5,2.5,1,Dam 5,56290,9,0.2
5,2.5,1,Dam 5,56290,10,0.2
5,2.5,1,Dam 5,56290,11,0.2
5,2.5,1,Dam 5,56290,12,0.2
5,2.5,1,Dam 5,56290,13,0.2
5,2.5,1,Dam 5,56290,14,0.2
5,2.5,1,Dam 5,56290,15,0.2
5,2.5,1,Dam 5,56290,16,0.2
5,2.5,1,Dam 5,56290,17,0.2
5,2.5,1,Dam 5,56290,18,0.2
5,2.5,1,Dam 5,56290,19,0.2
5,2.5,1,Dam 5,56290,20,0.2
5,2.5,1,Dam 5,56290,21,0.2
5,2.5,1,Dam 5,56290,22,0.2
5,2.5,1,Dam 5,56290,23,0.2
5,2.5,1,Dam 5,56290,24,0.2
6,3,1,Dam 6,83400,1,0
6,3,1,Dam 6,83400,2,0
6,3,1,Dam 6,83400,3,0
6,3,1,Dam 6,83400,4,0
6,3,1,Dam 6,83400,5,0
6,3,1,Dam 6,83400,6,0
6,3,1,Dam 6,83400,7,0
6,3,1,Dam 6,83400,8,0
6,3,1,Dam 6,83400,9,0
6,3,1,Dam 6,83400,10,0
6,3,1,Dam 6,83400,11,0
6,3,1,Dam 6,83400,12,0
6,3,1,Dam 6,83400,13,0
6,3,1,Dam 6,83400,14,0
6,3,1,Dam 6,83400,15,0
6,3,1,Dam 6,83400,16,0
6,3,1,Dam 6,83400,17,0
6,3,1,Dam 6,83400,18,0
6,3,1,Dam 6,83400,19,0
6,3,1,Dam 6,83400,20,0
6,3,1,Dam 6,83400,21,0
6,3,1,Dam 6,83400,22,0
6,3,1,Dam 6,83400,23,0
6,3,1,Dam 6,83400,24,0
7,2.5,1,Dam 7,222000,1,0.191
7,2.5,1,Dam 7,222000,2,0.191
7,2.5,1,Dam 7,222000,3,0.191
7,2.5,1,Dam 7,222000,4,0.191
7,2.5,1,Dam 7,222000,5,0.191
7,2.5,1,Dam 7,222000,6,0.191
7,2.5,1,Dam 7,222000,7,0.191
7,2.5,1,Dam 7,222000,8,0.191
7,2.5,1,Dam 7,222000,9,0.191
7,2.5,1,Dam 7,222000,10,0.191
7,2.5,1,Dam 7,222000,11,0.191
7,2.5,1,Dam 7,222000,12,0.191
7,2.5,1,Dam 7,222000,13,0.191
7,2.5,1,Dam 7,222000,14,0.191
7,2.5,1,Dam 7,222000,15,0.191
7,2.5,1,Dam 7,222000,16,0.191
7,2.5,1,Dam 7,222000,17,0.191
7,2.5,1,Dam 7,222000,18,0.191
7,2.5,1,Dam 7,222000,19,0.191
7,2.5,1,Dam 7,222000,20,0.191
7,2.5,1,Dam 7,222000,21,0.191
7,2.5,1,Dam 7,222000,22,0.191
7,2.5,1,Dam 7,222000,23,0.191
7,2.5,1,Dam 7,222000,24,0.191
8,1.2,1,Dam 8,105900,1,0.4319
8,1.2,1,Dam 8,105900,2,2.309
8,1.2,1,Dam 8,105900,3,2.309
8,1.2,1,Dam 8,105900,4,2.275
8,1.2,1,Dam 8,105900,5,2.009
8,1.2,1,Dam 8,105900,6,2.009
8,1.2,1,Dam 8,105900,7,2.009
8,1.2,1,Dam 8,105900,8,2.009
8,1.2,1,Dam 8,105900,9,2.009
8,1.2,1,Dam 8,105900,10,2.009
8,1.2,1,Dam 8,105900,11,2.009
8,1.2,1,Dam 8,105900,12,2.009
8,1.2,1,Dam 8,105900,13,2.009
8,1.2,1,Dam 8,105900,14,2.009
8,1.2,1,Dam 8,105900,15,2.009
8,1.2,1,Dam 8,105900,16,2.009
8,1.2,1,Dam 8,105900,17,2.009
8,1.2,1,Dam 8,105900,18,2.009
8,1.2,1,Dam 8,105900,19,2.009
8,1.2,1,Dam 8,105900,20,2.009
8,1.2,1,Dam 8,105900,21,2.009
8,1.2,1,Dam 8,105900,22,2.009
