_0DamsId.id,_0DamsId.targetFlow,_0DamsId.useTargetIndicator,_0DamsId.name,_0DamsId.initialVolume,_1PeriodsValue,value
1,0.22,1,Dam 1,250000,1,0.475
1,0.22,1,Dam 1,250000,2,0.292
1,0.22,1,Dam 1,250000,3,0.343
1,0.22,1,Dam 1,250000,4,0.312
1,0.22,1,Dam 1,250000,5,0.336
1,0.22,1,Dam 1,250000,6,0.343
1,0.22,1,Dam 1,250000,7,0.335
1,0.22,1,Dam 1,250000,8,0.349
1,0.22,1,Dam 1,250000,9,0.354
1,0.22,1,Dam 1,250000,10,0.355
1,0.22,1,Dam 1,250000,11,0.326
1,0.22,1,Dam 1,250000,12,0.327
1,0.22,1,Dam 1,250000,13,0.282
1,0.22,1,Dam 1,250000,14,0.287
1,0.22,1,Dam 1,250000,15,0.283
1,0.22,1,Dam 1,250000,16,0.298
1,0.22,1,Dam 1,250000,17,0.305
1,0.22,1,Dam 1,250000,18,0.308
1,0.22,1,Dam 1,250000,19,0.352
1,0.22,1,Dam 1,250000,20,0.401
1,0.22,1,Dam 1,250000,21,0.436
1,0.22,1,Dam 1,250000,22,0.408
1,0.22,1,Dam 1,250000,23,0.325
1,0.22,1,Dam 1,250000,24,0.308
2,2.5,1,Dam 2,78500,1,0.3788
2,2.5,1,Dam 2,78500,2,0.3782
2,2.5,1,Dam 2,78500,3,0.3828
2,2.5,1,Dam 2,78500,4,0.3468
2,2.5,1,Dam 2,78500,5,0.6274
2,2.5,1,Dam 2,78500,6,0.6274
2,2.5,1,Dam 2,78500,7,0.6274
2,2.5,1,Dam 2,78500,8,0.6274
2,2.5,1,Dam 2,78500,9,0.6274
2,2.5,1,Dam 2,78500,10,0.6274
2,2.5,1,Dam 2,78500,11,0.6274
2,2.5,1,Dam 2,78500,12,0.6274
2,2.5,1,Dam 2,78500,13,0.6274
2,2.5,1,Dam 2,78500,14,0.6274
2,2.5,1,Dam 2,78500,15,0.6274
2,2.5,1,Dam 2,78500,16,0.6274
2,2.5,1,Dam 2,78500,17,0.6274
2,2.5,1,Dam 2,78500,18,0.6269
2,2.5,1,Dam 2,78500,19,0.6314
2,2.5,1,Dam 2,78500,20,0.5959
2,2.5,1,Dam 2,78500,21,0.8726
2,2.5,1,Dam 2,78500,22,0.9028
2,2.5,1,Dam 2,78500,23,0.6676
2,2.5,1,Dam 2,78500,24,2.5
3,1.1,1,Dam 3,122300,1,0.09221
3,1.1,1,Dam 3,122300,2,0.187
3,1.1,1,Dam 3,122300,3,0.2818
3,1.1,1,Dam 3,122300,4,0.3766
3,1.1,1,Dam 3,122300,5,0.4714
3,1.1,1,Dam 3,122300,6,0.5662
3,1.1,1,Dam 3,122300,7,0.661
3,1.1,1,Dam 3,122300,8,0.7558
3,1.1,1,Dam 3,122300,9,0.7558
3,1.1,1,Dam 3,122300,10,0.7558
3,1.1,1,Dam 3,122300,11,0.7558
3,1.1,1,Dam 3,122300,12,0.7558
3,1.1,1,Dam 3,122300,13,0.7558
3,1.1,1,Dam 3,122300,14,0.7558
3,1.1,1,Dam 3,122300,15,0.7558
3,1.1,1,Dam 3,122300,16,0.7558
3,1.1,1,Dam 3,122300,17,0.7558
3,1.1,1,Dam 3,122300,18,0.7558
3,1.1,1,Dam 3,122300,19,0.7558
3,1.1,1,Dam 3,122300,20,0.7558
3,1.1,1,Dam 3,122300,21,0.7558
3,1.1,1,Dam 3,122300,22,0.7558
3,1.1,1,Dam 3,122300,23,0.7558
3,1.1,1,Dam 3,122300,24,0.7558
4,0.2,1,Dam 4,21350,1,0.2
4,0.2,1,Dam 4,21350,2,0.2
4,0.2,1,Dam 4,21350,3,0.2
4,0.2,1,Dam 4,21350,4,0.2
4,0.2,1,Dam 4,21350,5,0.2
4,0.2,1,Dam 4,21350,6,0.2
4,0.2,1,Dam 4,21350,7,0.2
4,0.2,1,Dam 4,21350,8,0.2
4,0.2,1,Dam 4,21350,9,0.2
4,0.2,1,Dam 4,21350,10,0.2
4,0.2,1,Dam 4,21350,11,0.2
4,0.2,1,Dam 4,21350,12,0.2
4,0.2,1,Dam 4,21350,13,0.2
4,0.2,1,Dam 4,21350,14,0.2
4,0.2,1,Dam 4,21350,15,0.2
4,0.2,1,Dam 4,21350,16,0.2
4,0.2,1,Dam 4,21350,17,0.2
4,0.2,1,Dam 4,21350,18,0.2
4,0.2,1,Dam 4,21350,19,0.2
4,0.2,1,Dam 4,21350,20,0.2
4,0.2,1,Dam 4,21350,21,0.2
4,0.2,1,Dam 4,21350,22,0.2
4,0.2,1,Dam 4,21350,23,0.2
4,0.2,1,Dam 4,21350,24,0.2
5,2.5,1,Dam 5,56290,1,2.5
5,2.5,1,Dam 5,56290,2,2.5
5,2.5,1,Dam 5,56290,3,2.5
5,2.5,1,Dam 5,56290,4,2.5
5,2.5,1,Dam 5,56290,5,2.5
5,2.5,1,Dam 5,56290,6,2.5
5,2.5,1,Dam 5,56290,7,2.5
5,2.5,1,Dam 5,56290,8,2.5
5,2.5,1,Dam 5,56290,9,2.5
5,2.5,1,Dam 5,56290,10,2.5
5,2.5,1,Dam 5,56290,11,2.5
5,2.5,1,Dam 5,56290,12,2.5
5,2.5,1,Dam 5,56290,13,2.5
5,2.5,1,Dam 5,56290,14,2.5
5,2.5,1,Dam 5,56290,15,2.5
5,2.5,1,Dam 5,56290,16,2.5
5,2.5,1,Dam 5,56290,17,2.5
5,2.5,1,Dam 5,56290,18,2.5
5,2.5,1,Dam 5,56290,19,2.5
5,2.5,1,Dam 5,56290,20,2.5
5,2.5,1,Dam 5,56290,21,2.5
5,2.5,1,Dam 5,56290,22,2.5
5,2.5,1,Dam 5,56290,23,2.5
5,2.5,1,Dam 5,56290,24,2.5
6,3,1,Dam 6,83400,1,3
6,3,1,Dam 6,83400,2,3
6,3,1,Dam 6,83400,3,3
6,3,1,Dam 6,83400,4,3
6,3,1,Dam 6,83400,5,3
6,3,1,Dam 6,83400,6,3
6,3,1,Dam 6,83400,7,3
6,3,1,Dam 6,83400,8,3
6,3,1,Dam 6,83400,9,3
6,3,1,Dam 6,83400,10,3
6,3,1,Dam 6,83400,11,3
6,3,1,Dam 6,83400,12,3
6,3,1,Dam 6,83400,13,3
6,3,1,Dam 6,83400,14,3
6,3,1,Dam 6,83400,15,3
6,3,1,Dam 6,83400,16,3
6,3,1,Dam 6,83400,17,3
6,3,1,Dam 6,83400,18,3
6,3,1,Dam 6,83400,19,3
6,3,1,Dam 6,83400,20,3
6,3,1,Dam 6,83400,21,3
6,3,1,Dam 6,83400,22,3
6,3,1,Dam 6,83400,23,3
6,3,1,Dam 6,83400,24,3
7,2.5,1,Dam 7,222000,1,2.5
7,2.5,1,Dam 7,222000,2,2.5
7,2.5,1,Dam 7,222000,3,2.5
7,2.5,1,Dam 7,222000,4,2.5
7,2.5,1,Dam 7,222000,5,2.5
7,2.5,1,Dam 7,222000,6,2.5
7,2.5,1,Dam 7,222000,7,2.5
7,2.5,1,Dam 7,222000,8,2.5
7,2.5,1,Dam 7,222000,9,2.5
7,2.5,1,Dam 7,222000,10,2.5
7,2.5,1,Dam 7,222000,11,2.5
7,2.5,1,Dam 7,222000,12,2.5
7,2.5,1,Dam 7,222000,13,2.5
7,2.5,1,Dam 7,222000,14,2.5
7,2.5,1,Dam 7,222000,15,2.5
7,2.5,1,Dam 7,222000,16,2.5
7,2.5,1,Dam 7,222000,17,2.5
7,2.5,1,Dam 7,222000,18,2.5
7,2.5,1,Dam 7,222000,19,2.5
7,2.5,1,Dam 7,222000,20,2.5
7,2.5,1,Dam 7,222000,21,2.5
7,2.5,1,Dam 7,222000,22,2.5
7,2.5,1,Dam 7,222000,23,2.5
7,2.5,1,Dam 7,222000,24,2.5
8,1.2,1,Dam 8,105900,1,0.191
8,1.2,1,Dam 8,105900,2,0.191
8,1.2,1,Dam 8,105900,3,0.191
8,1.2,1,Dam 8,105900,4,0.191
8,1.2,1,Dam 8,105900,5,0.191
8,1.2,1,Dam 8,105900,6,0.191
8,1.2,1,Dam 8,105900,7,0.191
8,1.2,1,Dam 8,105900,8,0.191
8,1.2,1,Dam 8,105900,9,0.191
8,1.2,1,Dam 8,105900,10,0.191
8,1.2,1,Dam 8,105900,11,0.191
8,1.2,1,Dam 8,105900,12,0.191
8,1.2,1,Dam 8,105900,13,0.191
8,1.2,1,Dam 8,105900,14,0.191
8,1.2,1,Dam 8,105900,15,0.191
8,1.2,1,Dam 8,105900,16,0.191
8,1.2,1,Dam 8,105900,17,0.191
8,1.2,1,Dam 8,105900,18,0.191
8,1.2,1,Dam 8,105900,19,0.191
8,1.2,1,Dam 8,105900,20,0.191
8,1.2,1,Dam 8,105900,21,0.191
8,1.2,1,Dam 8,105900,22,1.2
8,1.2,1,Dam 8,105900,23,1.2
8,1.2,1,Dam 8,105900,24,1.2
9,1,1,Dam 9,123500,1,1
9,1,1,Dam 9,123500,2,1
9,1,1,Dam 9,123500,3,1
9,1,1,Dam 9,123500,4,1
9,1,1,Dam 9,123500,5,1
9,1,1,Dam 9,123500,6,1
9,1,1,Dam 9,123500,7,1
9,1,1,Dam 9,123500,8,1
9,1,1,Dam 9,123500,9,1
9,1,1,Dam 9,123500,10,1
9,1,1,Dam 9,123500,11,1
9,1,1,Dam 9,123500,12,1
9,1,1,Dam 9,123500,13,1
9,1,1,Dam 9,123500,14,1
9,1,1,Dam 9,123500,15,1
9,1,1,Dam 9,123500,16,1
9,1,1,Dam 9,123500,17,1
9,1,1,Dam 9,123500,18,1
9,1,1,Dam 9,123500,19,1
9,1,1,Dam 9,123500,20,1
9,1,1,Dam 9,123500,21,1
9,1,1,Dam 9,123500,22,1
9,1,1,Dam 9,123500,23,1
9,1,1,Dam 9,123500,24,1
