_0DamsId.id,_0DamsId.targetFlow,_0DamsId.useTargetIndicator,_0DamsId.name,_0DamsId.initialVolume,_1PeriodsValue,value
1,0.22,1,Dam 1,250000,1,0.255
1,0.22,1,Dam 1,250000,2,0.072
1,0.22,1,Dam 1,250000,3,0.123
1,0.22,1,Dam 1,250000,4,0.092
1,0.22,1,Dam 1,250000,5,0.116
1,0.22,1,Dam 1,250000,6,0.123
1,0.22,1,Dam 1,250000,7,0.115
1,0.22,1,Dam 1,250000,8,0.129
1,0.22,1,Dam 1,250000,9,0.134
1,0.22,1,Dam 1,250000,10,0.135
1,0.22,1,Dam 1,250000,11,0.106
1,0.22,1,Dam 1,250000,12,0.107
1,0.22,1,Dam 1,250000,13,0.062
1,0.22,1,Dam 1,250000,14,0.067
1,0.22,1,Dam 1,250000,15,0.063
1,0.22,1,Dam 1,250000,16,0.078
1,0.22,1,Dam 1,250000,17,0.085
1,0.22,1,Dam 1,250000,18,0.088
1,0.22,1,Dam 1,250000,19,0.132
1,0.22,1,Dam 1,250000,20,0.181
1,0.22,1,Dam 1,250000,21,0.216
1,0.22,1,Dam 1,250000,22,0.188
1,0.22,1,Dam 1,250000,23,0.105
1,0.22,1,Dam 1,250000,24,0.088
2,2.5,1,Dam 2,78500,1,2.121
2,2.5,1,Dam 2,78500,2,2.122
2,2.5,1,Dam 2,78500,3,2.117
2,2.5,1,Dam 2,78500,4,2.153
2,2.5,1,Dam 2,78500,5,1.873
2,2.5,1,Dam 2,78500,6,1.873
2,2.5,1,Dam 2,78500,7,1.873
2,2.5,1,Dam 2,78500,8,1.873
2,2.5,1,Dam 2,78500,9,1.873
2,2.5,1,Dam 2,78500,10,1.873
2,2.5,1,Dam 2,78500,11,1.873
2,2.5,1,Dam 2,78500,12,1.873
2,2.5,1,Dam 2,78500,13,1.873
2,2.5,1,Dam 2,78500,14,1.873
2,2.5,1,Dam 2,78500,15,1.873
2,2.5,1,Dam 2,78500,16,1.873
2,2.5,1,Dam 2,78500,17,1.873
2,2.5,1,Dam 2,78500,18,1.873
2,2.5,1,Dam 2,78500,19,1.869
2,2.5,1,Dam 2,78500,20,1.904
2,2.5,1,Dam 2,78500,21,1.627
2,2.5,1,Dam 2,78500,22,1.597
2,2.5,1,Dam 2,78500,23,1.832
2,2.5,1,Dam 2,78500,24,0
3,1.1,1,Dam 3,122300,1,1.008
3,1.1,1,Dam 3,122300,2,0.913
3,1.1,1,Dam 3,122300,3,0.8182
3,1.1,1,Dam 3,122300,4,0.7234
3,1.1,1,Dam 3,122300,5,0.6286
3,1.1,1,Dam 3,122300,6,0.5338
3,1.1,1,Dam 3,122300,7,0.439
3,1.1,1,Dam 3,122300,8,0.3442
3,1.1,1,Dam 3,122300,9,0.3442
3,1.1,1,Dam 3,122300,10,0.3442
3,1.1,1,Dam 3,122300,11,0.3442
3,1.1,1,Dam 3,122300,12,0.3442
3,1.1,1,Dam 3,122300,13,0.3442
3,1.1,1,Dam 3,122300,14,0.3442
3,1.1,1,Dam 3,122300,15,0.3442
3,1.1,1,Dam 3,122300,16,0.3442
3,1.1,1,Dam 3,122300,17,0.3442
3,1.1,1,Dam 3,122300,18,0.3442
3,1.1,1,Dam 3,122300,19,0.3442
3,1.1,1,Dam 3,122300,20,0.3442
3,1.1,1,Dam 3,122300,21,0.3442
3,1.1,1,Dam 3,122300,22,0.3442
3,1.1,1,Dam 3,122300,23,0.3442
3,1.1,1,Dam 3,122300,24,0.3442
4,0.2,1,Dam 4,21350,1,0
4,0.2,1,Dam 4,21350,2,0
4,0.2,1,Dam 4,21350,3,0
4,0.2,1,Dam 4,21350,4,0
4,0.2,1,Dam 4,21350,5,0
4,0.2,1,Dam 4,21350,6,0
4,0.2,1,Dam 4,21350,7,0
4,0.2,1,Dam 4,21350,8,0
4,0.2,1,Dam 4,21350,9,0
4,0.2,1,Dam 4,21350,10,0
4,0.2,1,Dam 4,21350,11,0
4,0.2,1,Dam 4,21350,12,0
4,0.2,1,Dam 4,21350,13,0
4,0.2,1,Dam 4,21350,14,0
4,0.2,1,Dam 4,21350,15,0
4,0.2,1,Dam 4,21350,16,0
4,0.2,1,Dam 4,21350,17,0
4,0.2,1,Dam 4,21350,18,0
4,0.2,1,Dam 4,21350,19,0
4,0.2,1,Dam 4,21350,20,0
4,0.2,1,Dam 4,21350,21,0
4,0.2,1,Dam 4,21350,22,0
4,0.2,1,Dam 4,21350,23,0
4,0.2,1,Dam 4,21350,24,0
5,2.5,1,Dam 5,56290,1,0
5,2.5,1,Dam 5,56290,2,0
5,2.5,1,Dam 5,56290,3,0
5,2.5,1,Dam 5,56290,4,0
5,2.5,1,Dam 5,56290,5,0
5,2.5,1,Dam 5,56290,6,0
