_0TanksId.id,_0TanksId.maximumCapacity,_0TanksId.alarmLevelDown,_0TanksId.alarmLevelUp,_0TanksId.warningLevelDown,_0TanksId.warningLevelHigh,_0TanksId.nbHoursInputRequired,_0TanksId.initialVolume,_0TanksId.warningLevelInputPenalty,_0TanksId.alarmLevelInputPenalty,_0TanksId.minReserveHoursPenalty,_0TanksId.name,_1PeriodsValue,volume,outFlow,inFlow
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,1,14750,0.315,0.2124
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,2,15010,0.308,0.3787
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,3,15150,0.339,0.3787
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,4,15330,0.329,0.3787
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,5,15430,0.351,0.3787
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,6,16460,0.342,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,7,17490,0.341,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,8,18430,0.366,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,9,19330,0.377,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,10,20270,0.367,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,11,21290,0.342,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,12,22370,0.329,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,13,23540,0.301,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,14,24760,0.289,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,15,26020,0.277,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,16,27240,0.289,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,17,28430,0.297,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,18,29550,0.316,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,19,30460,0.375,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,20,30940,0.493,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,21,31430,0.492,0.6274
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,22,33060,0.423,0.876
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,23,35010,0.335,0.876
1,37000,2000,33300,5000,32000,0,15120,1,2,0,Tank 1,24,37000,0.323,0.876
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,1,10940,0.525,0.09221
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,2,9729,0.524,0.187
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,3,8680,0.573,0.2818
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,4,8056,0.55,0.3766
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,5,7658,0.582,0.4714
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,6,7723,0.548,0.5662
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,7,8069,0.565,0.661
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,8,8698,0.581,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,9,9223,0.61,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,10,9844,0.583,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,11,10530,0.564,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,12,11210,0.568,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,13,12100,0.51,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,14,13030,0.497,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,15,14040,0.475,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,16,15010,0.485,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,17,15940,0.499,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,18,16720,0.538,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,19,17260,0.606,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,20,16990,0.832,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,21,16800,0.807,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,22,17010,0.698,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,23,17580,0.596,0.7558
2,18400,1840,18200,3680,18000,0,12500,1,2,0,Tank 2,24,18400,0.529,0.7558
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,1,7578,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,2,7905,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,3,8233,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,4,8560,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,5,8888,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,6,9216,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,7,9543,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,8,9871,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,9,10200,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,10,10530,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,11,10850,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,12,11180,0.1,0.191
3,40000,2000,38000,5000,32000,0,7250,1,2,0,Tank 3,13,11510,0.1,0.191
