canal,period,minLimit,maxLimit,minInformedLimit,maxInformedLimit
1,1,0,4.7,0,4.7
1,2,0,4.7,0,4.7
1,3,0,4.7,0,4.7
1,4,0,4.7,0,4.7
1,5,0,4.7,0,4.7
1,6,0,4.7,0,4.7
1,7,0,4.7,0,4.7
1,8,0,4.7,0,4.7
1,9,0,4.7,0,4.7
1,10,0,4.7,0,4.7
1,11,0,4.7,0,4.7
1,12,0,4.7,0,4.7
1,13,0,4.7,0,4.7
1,14,0,4.7,0,4.7
1,15,0,4.7,0,4.7
1,16,0,4.7,0,4.7
1,17,0,4.7,0,4.7
1,18,0,4.7,0,4.7
1,19,0,4.7,0,4.7
1,20,0,4.7,0,4.7
1,21,0,4.7,0,4.7
1,22,0,4.7,0,4.7
1,23,0,4.7,0,4.7
1,24,0,4.7,0,4.7
2,1,0,6,0,6
2,2,0,6,0,6
2,3,0,6,0,6
2,4,0,6,0,6
2,5,0,6,0,6
2,6,0,6,0,6
2,7,0,6,0,6
2,8,0,6,0,6
2,9,0,6,0,6
2,10,0,6,0,6
2,11,0,6,0,6
2,12,0,6,0,6
2,13,0,6,0,6
2,14,0,6,0,6
2,15,0,6,0,6
2,16,0,6,0,6
2,17,0,6,0,6
2,18,0,6,0,6
2,19,0,6,0,6
2,20,0,6,0,6
2,21,0,6,0,6
2,22,0,6,0,6
2,23,0,6,0,6
2,24,0,6,0,6
3,1,0,6,0,6
3,2,0,6,0,6
3,3,0,6,0,6
3,4,0,6,0,6
3,5,0,6,0,6
3,6,0,6,0,6
3,7,0,6,0,6
3,8,0,6,0,6
3,9,0,6,0,6
3,10,0,6,0,6
3,11,0,6,0,6
3,12,0,6,0,6
3,13,0,6,0,6
3,14,0,6,0,6
3,15,0,6,0,6
3,16,0,6,0,6
3,17,0,6,0,6
3,18,0,6,0,6
3,19,0,6,0,6
3,20,0,6,0,6
3,21,0,6,0,6
3,22,0,6,0,6
3,23,0,6,0,6
3,24,0,6,0,6
4,1,0,6,0,6
4,2,0,6,0,6
4,3,0,6,0,6
4,4,0,6,0,6
4,5,0,6,0,6
4,6,0,6,0,6
4,7,0,6,0,6
4,8,0,6,0,6
4,9,0,6,0,6
4,10,0,6,0,6
4,11,0,6,0,6
4,12,0,6,0,6
4,13,0,6,0,6
4,14,0,6,0,6
4,15,0,6,0,6
4,16,0,6,0,6
4,17,0,6,0,6
4,18,0,6,0,6
4,19,0,6,0,6
4,20,0,6,0,6
4,21,0,6,0,6
4,22,0,6,0,6
4,23,0,6,0,6
4,24,0,6,0,6
5,1,0,6,0,6
5,2,0,6,0,6
5,3,0,6,0,6
5,4,0,6,0,6
5,5,0,6,0,6
5,6,0,6,0,6
5,7,0,6,0,6
5,8,0,6,0,6
5,9,0,6,0,6
5,10,0,6,0,6
5,11,0,6,0,6
5,12,0,6,0,6
5,13,0,6,0,6
5,14,0,6,0,6
5,15,0,6,0,6
5,16,0,6,0,6
5,17,0,6,0,6
5,18,0,6,0,6
5,19,0,6,0,6
5,20,0,6,0,6
5,21,0,6,0,6
5,22,0,6,0,6
5,23,0,6,0,6
5,24,0,6,0,6
6,1,0,6,0,6
6,2,0,6,0,6
6,3,0,6,0,6
6,4,0,6,0,6
6,5,0,6,0,6
6,6,0,6,0,6
6,7,0,6,0,6
6,8,0,6,0,6
6,9,0,6,0,6
6,10,0,6,0,6
6,11,0,6,0,6
6,12,0,6,0,6
6,13,0,6,0,6
6,14,0,6,0,6
6,15,0,6,0,6
6,16,0,6,0,6
6,17,0,6,0,6
6,18,0,6,0,6
6,19,0,6,0,6
6,20,0,6,0,6
6,21,0,6,0,6
6,22,0,6,0,6
6,23,0,6,0,6
6,24,0,6,0,6
7,1,0,6,0,6
7,2,0,6,0,6
7,3,0,6,0,6
7,4,0,6,0,6
7,5,0,6,0,6
7,6,0,6,0,6
7,7,0,6,0,6
7,8,0,6,0,6
7,9,0,6,0,6
7,10,0,6,0,6
7,11,0,6,0,6
7,12,0,6,0,6
7,13,0,6,0,6
7,14,0,6,0,6
7,15,0,6,0,6
7,16,0,6,0,6
7,17,0,6,0,6
7,18,0,6,0,6
7,19,0,6,0,6
7,20,0,6,0,6
7,21,0,6,0,6
7,22,0,6,0,6
7,23,0,6,0,6
7,24,0,6,0,6
8,1,0,6,0,6
8,2,0,6,0,6
8,3,0,6,0,6
8,4,0,6,0,6
8,5,0,6,0,6
8,6,0,6,0,6
8,7,0,6,0,6
8,8,0,6,0,6
8,9,0,6,0,6
8,10,0,6,0,6
