tank,period,minVolume,maxVolume
1,1,0,37000
1,2,0,37000
1,3,0,37000
1,4,0,37000
1,5,0,37000
1,6,0,37000
1,7,0,37000
1,8,0,37000
1,9,0,37000
1,10,0,37000
1,11,0,37000
1,12,0,37000
1,13,0,37000
1,14,0,37000
1,15,0,37000
1,16,0,37000
1,17,0,37000
1,18,0,37000
1,19,0,37000
1,20,0,37000
1,21,0,37000
1,22,0,37000
1,23,0,37000
1,24,0,37000
2,1,0,18400
2,2,0,18400
2,3,0,18400
2,4,0,18400
2,5,0,18400
2,6,0,18400
2,7,0,18400
2,8,0,18400
2,9,0,18400
2,10,0,18400
2,11,0,18400
2,12,0,18400
2,13,0,18400
2,14,0,18400
2,15,0,18400
2,16,0,18400
2,17,0,18400
2,18,0,18400
2,19,0,18400
2,20,0,18400
2,21,0,18400
2,22,0,18400
2,23,0,18400
2,24,0,18400
3,1,0,40000
3,2,0,40000
3,3,0,40000
3,4,0,40000
3,5,0,40000
3,6,0,40000
3,7,0,40000
3,8,0,40000
3,9,0,40000
3,10,0,40000
3,11,0,40000
3,12,0,40000
3,13,0,40000
3,14,0,40000
3,15,0,40000
3,16,0,40000
3,17,0,40000
3,18,0,40000
3,19,0,40000
3,20,0,40000
3,21,0,40000
3,22,0,40000
3,23,0,40000
3,24,0,40000
4,1,0,10000
4,2,0,10000
4,3,0,10000
4,4,0,10000
4,5,0,10000
4,6,0,10000
4,7,0,10000
4,8,0,10000
4,9,0,10000
4,10,0,10000
4,11,0,10000
4,12,0,10000
4,13,0,10000
4,14,0,10000
4,15,0,10000
4,16,0,10000
4,17,0,10000
4,18,0,10000
4,19,0,10000
4,20,0,10000
4,21,0,10000
4,22,0,10000
4,23,0,10000
4,24,0,10000
5,1,0,22000
5,2,0,22000
5,3,0,22000
5,4,0,22000
5,5,0,22000
5,6,0,22000
5,7,0,22000
5,8,0,22000
5,9,0,22000
5,10,0,22000
5,11,0,22000
5,12,0,22000
5,13,0,22000
5,14,0,22000
5,15,0,22000
5,16,0,22000
5,17,0,22000
5,18,0,22000
5,19,0,22000
5,20,0,22000
5,21,0,22000
5,22,0,22000
5,23,0,22000
5,24,0,22000
