"_0DamsId.id","_0DamsId.targetFlow","_0DamsId.useTargetIndicator","_0DamsId.name","_0DamsId.initialVolume","_1PeriodsValue",value
1,0.2200,0,Dam 1,2.500E+5,1,1.275
1,0.2200,0,Dam 1,2.500E+5,2,1.276
1,0.2200,0,Dam 1,2.500E+5,3,1.327
1,0.2200,0,Dam 1,2.500E+5,4,1.296
1,0.2200,0,Dam 1,2.500E+5,5,1.320
1,0.2200,0,Dam 1,2.500E+5,6,1.327
1,0.2200,0,Dam 1,2.500E+5,7,1.319
1,0.2200,0,Dam 1,2.500E+5,8,1.333
1,0.2200,0,Dam 1,2.500E+5,9,1.338
1,0.2200,0,Dam 1,2.500E+5,10,1.339
1,0.2200,0,Dam 1,2.500E+5,11,1.310
1,0.2200,0,Dam 1,2.500E+5,12,1.311
1,0.2200,0,Dam 1,2.500E+5,13,1.266
1,0.2200,0,Dam 1,2.500E+5,14,1.271
1,0.2200,0,Dam 1,2.500E+5,15,1.267
1,0.2200,0,Dam 1,2.500E+5,16,1.282
1,0.2200,0,Dam 1,2.500E+5,17,1.289
1,0.2200,0,Dam 1,2.500E+5,18,1.292
1,0.2200,0,Dam 1,2.500E+5,19,1.336
1,0.2200,0,Dam 1,2.500E+5,20,1.385
1,0.2200,0,Dam 1,2.500E+5,21,1.420
1,0.2200,0,Dam 1,2.500E+5,22,1.392
1,0.2200,0,Dam 1,2.500E+5,23,1.309
1,0.2200,0,Dam 1,2.500E+5,24,1.292
2,2.5,1,Dam 2,7.850E+4,1,0.4540
2,2.5,1,Dam 2,7.850E+4,2,0.4540
2,2.5,1,Dam 2,7.850E+4,3,0.4540
2,2.5,1,Dam 2,7.850E+4,4,0.4540
2,2.5,1,Dam 2,7.850E+4,5,0.4540
2,2.5,1,Dam 2,7.850E+4,6,0.4540
2,2.5,1,Dam 2,7.850E+4,7,0.4540
2,2.5,1,Dam 2,7.850E+4,8,0.4541
2,2.5,1,Dam 2,7.850E+4,9,0.4535
2,2.5,1,Dam 2,7.850E+4,10,0.4581
2,2.5,1,Dam 2,7.850E+4,11,0.4221
2,2.5,1,Dam 2,7.850E+4,12,0.7027
2,2.5,1,Dam 2,7.850E+4,13,0.7027
2,2.5,1,Dam 2,7.850E+4,14,0.7027
2,2.5,1,Dam 2,7.850E+4,15,0.7027
2,2.5,1,Dam 2,7.850E+4,16,0.7027
2,2.5,1,Dam 2,7.850E+4,17,0.7028
2,2.5,1,Dam 2,7.850E+4,18,0.7022
2,2.5,1,Dam 2,7.850E+4,19,0.7067
2,2.5,1,Dam 2,7.850E+4,20,0.6712
2,2.5,1,Dam 2,7.850E+4,21,0.9481
2,2.5,1,Dam 2,7.850E+4,22,0.9768
2,2.5,1,Dam 2,7.850E+4,23,0.7526
2,2.5,1,Dam 2,7.850E+4,24,2.5
3,1.100,1,Dam 3,1.223E+5,1,0.09479
3,1.100,1,Dam 3,1.223E+5,2,0.1896
3,1.100,1,Dam 3,1.223E+5,3,0.2844
3,1.100,1,Dam 3,1.223E+5,4,0.3792
3,1.100,1,Dam 3,1.223E+5,5,0.4740
3,1.100,1,Dam 3,1.223E+5,6,0.5688
3,1.100,1,Dam 3,1.223E+5,7,0.6601
3,1.100,1,Dam 3,1.223E+5,8,0.7549
3,1.100,1,Dam 3,1.223E+5,9,0.7549
3,1.100,1,Dam 3,1.223E+5,10,0.7549
3,1.100,1,Dam 3,1.223E+5,11,0.7549
3,1.100,1,Dam 3,1.223E+5,12,0.7549
3,1.100,1,Dam 3,1.223E+5,13,0.7549
3,1.100,1,Dam 3,1.223E+5,14,0.7549
3,1.100,1,Dam 3,1.223E+5,15,0.7549
3,1.100,1,Dam 3,1.223E+5,16,0.7549
3,1.100,1,Dam 3,1.223E+5,17,0.7549
3,1.100,1,Dam 3,1.223E+5,18,0.7549
3,1.100,1,Dam 3,1.223E+5,19,0.7549
3,1.100,1,Dam 3,1.223E+5,20,0.7549
3,1.100,1,Dam 3,1.223E+5,21,0.7549
3,1.100,1,Dam 3,1.223E+5,22,0.7549
3,1.100,1,Dam 3,1.223E+5,23,0.7549
3,1.100,1,Dam 3,1.223E+5,24,0.7549
4,0.2000,1,Dam 4,2.135E+4,1,0.2000
4,0.2000,1,Dam 4,2.135E+4,2,0.2000
4,0.2000,1,Dam 4,2.135E+4,3,0.2000
4,0.2000,1,Dam 4,2.135E+4,4,0.2000
4,0.2000,1,Dam 4,2.135E+4,5,0.2000
4,0.2000,1,Dam 4,2.135E+4,6,0.2000
4,0.2000,1,Dam 4,2.135E+4,7,0.2000
4,0.2000,1,Dam 4,2.135E+4,8,0.2000
4,0.2000,1,Dam 4,2.135E+4,9,0.2000
4,0.2000,1,Dam 4,2.135E+4,10,0.2000
4,0.2000,1,Dam 4,2.135E+4,11,0.2000
4,0.2000,1,Dam 4,2.135E+4,12,0.2000
4,0.2000,1,Dam 4,2.135E+4,13,0.2000
4,0.2000,1,Dam 4,2.135E+4,14,0.2000
4,0.2000,1,Dam 4,2.135E+4,15,0.2000
4,0.2000,1,Dam 4,2.135E+4,16,0.2000
4,0.2000,1,Dam 4,2.135E+4,17,0.2000
4,0.2000,1,Dam 4,2.135E+4,18,0.2000
4,0.2000,1,Dam 4,2.135E+4,19,0.2000
4,0.2000,1,Dam 4,2.135E+4,20,0.2000
4,0.2000,1,Dam 4,2.135E+4,21,0.2000
4,0.2000,1,Dam 4,2.135E+4,22,0.2000
4,0.2000,1,Dam 4,2.135E+4,23,0.2000
4,0.2000,1,Dam 4,2.135E+4,24,0.2000
5,2.5,1,Dam 5,5.629E+4,1,2.5
5,2.5,1,Dam 5,5.629E+4,2,2.5
5,2.5,1,Dam 5,5.629E+4,3,2.5
5,2.5,1,Dam 5,5.629E+4,4,2.5
5,2.5,1,Dam 5,5.629E+4,5,2.5
5,2.5,1,Dam 5,5.629E+4,6,2.5
5,2.5,1,Dam 5,5.629E+4,7,2.5
5,2.5,1,Dam 5,5.629E+4,8,2.5
5,2.5,1,Dam 5,5.629E+4,9,2.5
5,2.5,1,Dam 5,5.629E+4,10,2.5
5,2.5,1,Dam 5,5.629E+4,11,2.5
5,2.5,1,Dam 5,5.629E+4,12,2.5
5,2.5,1,Dam 5,5.629E+4,13,2.5
5,2.5,1,Dam 5,5.629E+4,14,2.5
5,2.5,1,Dam 5,5.629E+4,15,2.5
5,2.5,1,Dam 5,5.629E+4,16,2.5
5,2.5,1,Dam 5,5.629E+4,17,2.5
5,2.5,1,Dam 5,5.629E+4,18,2.5
5,2.5,1,Dam 5,5.629E+4,19,2.5
