"_0StationsId.id","_0StationsId.technicalMinimum","_0StationsId.maximumCapacity","_0StationsId.step1Level","_0StationsId.step2Level","_0StationsId.step3Level","_0StationsId.step1AdaptationPeriod","_0StationsId.step2AdaptationPeriod","_0StationsId.step3AdaptationPeriod","_0StationsId.name","_1PeriodsValue",outFlow,hasTreatedWater
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,1,0.2910,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,2,0.2920,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,3,0.3430,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,4,0.3120,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,5,0.3360,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,6,0.3430,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,7,0.3350,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,8,0.3490,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,9,0.3540,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,10,0.3550,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,11,0.3260,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,12,0.3270,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,13,0.2820,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,14,0.2870,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,15,0.2830,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,16,0.2980,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,17,0.3050,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,18,0.3080,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,19,0.3520,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,20,0.4010,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,21,0.4360,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,22,0.4080,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,23,0.3250,1
1,0.01000,0.4370,75,25,0,1,1,0,Station 1,24,0.3080,1
2,0,1.300,75,25,0,12,24,0,Station 2,1,0.09479,1
2,0,1.300,75,25,0,12,24,0,Station 2,2,0.1896,1
2,0,1.300,75,25,0,12,24,0,Station 2,3,0.2844,1
2,0,1.300,75,25,0,12,24,0,Station 2,4,0.3792,1
2,0,1.300,75,25,0,12,24,0,Station 2,5,0.4740,1
2,0,1.300,75,25,0,12,24,0,Station 2,6,0.5688,1
2,0,1.300,75,25,0,12,24,0,Station 2,7,0.6601,1
2,0,1.300,75,25,0,12,24,0,Station 2,8,0.7549,1
2,0,1.300,75,25,0,12,24,0,Station 2,9,0.7549,1
2,0,1.300,75,25,0,12,24,0,Station 2,10,0.7549,1
2,0,1.300,75,25,0,12,24,0,Station 2,11,0.7549,1
2,0,1.300,75,25,0,12,24,0,Station 2,12,0.7549,1
2,0,1.300,75,25,0,12,24,0,Station 2,13,0.7549,1
