"_0TanksId.id","_0TanksId.maximumCapacity","_0TanksId.alarmLevelDown","_0TanksId.alarmLevelUp","_0TanksId.warningLevelDown","_0TanksId.warningLevelHigh","_0TanksId.nbHoursInputRequired","_0TanksId.initialVolume","_0TanksId.warningLevelInputPenalty","_0TanksId.alarmLevelInputPenalty","_0TanksId.minReserveHoursPenalty","_0TanksId.name","_1PeriodsValue",volume,outFlow,inFlow
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,1,1.478E+4,0.3150,0.2209
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,2,1.531E+4,0.3080,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,3,1.572E+4,0.3390,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,4,1.617E+4,0.3290,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,5,1.654E+4,0.3510,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,6,1.695E+4,0.3420,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,7,1.735E+4,0.3410,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,8,1.767E+4,0.3660,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,9,1.795E+4,0.3770,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,10,1.826E+4,0.3670,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,11,1.866E+4,0.3420,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,12,1.911E+4,0.3290,0.4540
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,13,2.056E+4,0.3010,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,14,2.205E+4,0.2890,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,15,2.358E+4,0.2770,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,16,2.507E+4,0.2890,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,17,2.653E+4,0.2970,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,18,2.792E+4,0.3160,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,19,2.910E+4,0.375,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,20,2.986E+4,0.4930,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,21,3.062E+4,0.4920,0.7027
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,22,3.252E+4,0.4230,0.9513
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,23,3.474E+4,0.3350,0.9513
1,3.700E+4,2000,3.330E+4,5000,3.200E+4,0,1.512E+4,1,2,0,Tank 1,24,3.700E+4,0.3230,0.9513
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,1,1.095E+4,0.5250,0.09479
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,2,9747,0.5240,0.1896
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,3,8708,0.5730,0.2844
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,4,8093,0.5500,0.3792
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,5,7704,0.5820,0.4740
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,6,7779,0.5480,0.5688
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,7,8121,0.5650,0.6601
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,8,8747,0.5810,0.7549
